Epoch 1/22 | train |  Loss: 2.5812 Acc: 0.3372
Epoch 1/22 |  val  |  Loss: 2.3527 Acc: 0.4015
Epoch 2/22 | train |  Loss: 2.4244 Acc: 0.3972
Epoch 2/22 |  val  |  Loss: 2.3490 Acc: 0.4084
Epoch 3/22 | train |  Loss: 2.3630 Acc: 0.4177
Epoch 3/22 |  val  |  Loss: 2.4065 Acc: 0.3482
Epoch 4/22 | train |  Loss: 2.3096 Acc: 0.4365
Epoch 4/22 |  val  |  Loss: 2.2204 Acc: 0.4370
Epoch 5/22 | train |  Loss: 2.2715 Acc: 0.4484
Epoch 5/22 |  val  |  Loss: 2.2154 Acc: 0.4441
Epoch 6/22 | train |  Loss: 2.2328 Acc: 0.4584
Epoch 6/22 |  val  |  Loss: 2.1934 Acc: 0.4416
Epoch 7/22 | train |  Loss: 2.2002 Acc: 0.4739
Epoch 7/22 |  val  |  Loss: 2.1187 Acc: 0.4793
Epoch 8/22 | train |  Loss: 2.1599 Acc: 0.4822
Epoch 8/22 |  val  |  Loss: 2.1420 Acc: 0.4622
Epoch 9/22 | train |  Loss: 2.1261 Acc: 0.4959
Epoch 9/22 |  val  |  Loss: 2.0768 Acc: 0.4847
Epoch 10/22 | train |  Loss: 2.0783 Acc: 0.5082
Epoch 10/22 |  val  |  Loss: 2.0298 Acc: 0.5006
Epoch 11/22 | train |  Loss: 2.0447 Acc: 0.5232
Epoch 11/22 |  val  |  Loss: 2.0101 Acc: 0.5106
Epoch 12/22 | train |  Loss: 1.9995 Acc: 0.5356
Epoch 12/22 |  val  |  Loss: 1.9513 Acc: 0.5319
Epoch 13/22 | train |  Loss: 1.9628 Acc: 0.5461
Epoch 13/22 |  val  |  Loss: 1.9574 Acc: 0.5261
Epoch 14/22 | train |  Loss: 1.9160 Acc: 0.5583
Epoch 14/22 |  val  |  Loss: 1.9503 Acc: 0.5292
Epoch 15/22 | train |  Loss: 1.8597 Acc: 0.5770
Epoch 15/22 |  val  |  Loss: 1.9580 Acc: 0.5332
Epoch 16/22 | train |  Loss: 1.8244 Acc: 0.5863
Epoch 16/22 |  val  |  Loss: 1.8996 Acc: 0.5371
Epoch 17/22 | train |  Loss: 1.7719 Acc: 0.6069
Epoch 17/22 |  val  |  Loss: 1.8933 Acc: 0.5557
Epoch 18/22 | train |  Loss: 1.7179 Acc: 0.6204
Epoch 18/22 |  val  |  Loss: 1.8780 Acc: 0.5586
Epoch 19/22 | train |  Loss: 1.6720 Acc: 0.6355
Epoch 19/22 |  val  |  Loss: 1.8510 Acc: 0.5657
Epoch 20/22 | train |  Loss: 1.6118 Acc: 0.6525
Epoch 20/22 |  val  |  Loss: 1.8790 Acc: 0.5623
Epoch 21/22 | train |  Loss: 1.5559 Acc: 0.6694
Epoch 21/22 |  val  |  Loss: 1.8521 Acc: 0.5610
Epoch 22/22 | train |  Loss: 1.5077 Acc: 0.6831
Epoch 22/22 |  val  |  Loss: 1.8574 Acc: 0.5713
